Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,MA60,MA240,DIF,MACD,RSI,ATR,ADX,Bollinger_Upper,Bollinger_Lower,%K,%D
120.06459667053507,120.23245792473824,119.09937204662947,119.5106430053711,2182700,0.0,0.0,,,,,0.0,0.0,,,,,,,
119.15812074131131,119.74564148625744,118.25165467468366,118.67970275878906,1963500,0.0,0.0,,,,,-0.06628583163617918,-0.013257166327235836,,,,,,,
118.90629662072676,119.61132136135276,118.49502578520045,119.29238891601562,1858200,0.0,0.0,,,,,-0.06858853240842677,-0.024323439543474025,,,,,,,
118.65452740213173,119.60296200610179,117.78164124432159,118.05021667480469,2898600,0.0,0.0,,,,,-0.16870167011965975,-0.053199085658711176,,,,,,,
118.12577635473198,118.18452203289635,116.44713813184987,116.48070526123047,3203200,0.0,0.0,118.4027313232422,,,,-0.37041855265580637,-0.11664297905813023,,,,,,,
116.58981878055927,116.58981878055927,115.84282529687668,115.86800384521484,1879700,0.0,0.0,117.67420349121093,,,,-0.5731140174286224,-0.2079371867322287,,,,,,,
115.7588591961955,116.46388398661125,115.66653360647513,115.85957336425781,2039100,0.0,0.0,117.11017761230468,,,,-0.7260623086240656,-0.3115622111105961,,,,,,,
116.09461329726412,117.45430601498138,116.04424339805927,117.0262451171875,1725600,0.0,0.0,116.65694885253906,,,,-0.7445515444138522,-0.39816007777124734,,,,,,,
117.20252015805552,117.89915655708592,116.824829119471,116.93394470214844,1342300,0.0,0.0,116.4336944580078,,,,-0.7579154910965684,-0.4701111604363116,,,,,,,
116.7157135878745,116.91715478513794,116.25408551518326,116.48070526123047,1290700,0.0,0.0,116.4336944580078,,,,-0.7959044589571533,-0.53526982014048,,,,,,,
115.77565535225224,116.09460064416176,115.11258622507096,115.17973327636719,1939500,0.0,0.0,116.29604034423828,,,,-0.9203789999885146,-0.612291656110087,,,,,,,
115.15456680908643,116.0274657604866,115.1125982967513,115.80923461914062,1553600,0.0,0.0,116.28597259521484,,,,-0.9571965076409583,-0.6812726264162612,,,,,,,
115.77566667988852,116.93393101584128,115.72530958823697,116.56462860107422,1508100,0.0,0.0,116.19364929199219,,,,-0.9148745619991416,-0.7279930135328373,,,,,,,
117.07659369990648,118.42789759188294,116.84997401921763,117.92430114746094,2074100,0.0,0.0,116.39172058105468,,,,-0.7628265147104543,-0.7349597137683608,42.54131556952172,1.2535866418636974,,,,54.91768324141209,
117.99985898002002,118.74685240207273,117.65573510513263,117.75646209716797,2758200,0.0,0.0,116.6468719482422,,,,-0.6483962421890226,-0.7176470194524932,41.88032014826492,1.250588886065935,,,,57.065494000171704,
118.20969104959293,118.48666787087306,117.57181318685194,117.66413879394531,1415700,0.0,0.0,117.14375305175781,,,,-0.5587185857163206,-0.6858613327052587,44.95417851879257,1.2092223055264597,,,,56.717110289431425,56.23342917700507
117.87393787937886,118.26001736711987,117.11015467464529,117.21086883544922,1489400,0.0,0.0,117.42407989501953,,,,-0.5182494374685547,-0.6523389536579179,39.49151745925122,1.2116199566923365,,,,46.72844128641211,53.50368185867175
116.9506697502579,117.38711907949306,116.06099393807715,116.1113510131836,1965900,0.0,0.0,117.3334243774414,,,,-0.5683476867717587,-0.6355407002806861,40.06865509023877,1.1762488409520304,,,,27.481883259761837,43.64247827853512
116.20373720469372,117.42914883513772,115.33923947909743,115.36441802978516,1660900,0.0,0.0,116.82144775390626,,,,-0.6607059527160573,-0.6405737507677604,43.755921278364525,1.2014292305944454,,,,6.929371500299912,27.04656534882462
115.77567435982075,116.36319514638141,115.43155046805214,115.87638854980469,2248900,0.0,0.0,116.4454330444336,116.98218269348145,,,-0.6846960517567169,-0.6493982109655517,50.04743534075322,1.2194137758025647,,119.50212588030324,114.46223950665966,21.01668638272001,18.475980380927254
114.99510154765045,115.6749607544559,113.86202848362676,113.88720703125,1963200,0.0,0.0,115.69004669189454,116.7010108947754,,,-0.854370056168932,-0.6903925800062278,40.88453076076839,1.3063430390912651,,119.28711347348326,114.11490831606753,0.5154443239635028,9.487167402327808
114.4663285455609,114.74330535053022,113.08144452071426,113.3584213256836,2454300,0.0,0.0,114.9195571899414,116.43494682312011,,,-1.0197514543015274,-0.7562643548652878,31.986741914718706,1.3111379090264361,,119.2488047416246,113.62108890461563,4.888911986032013,8.807014230905175
