Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,MA20,MA60,MA240,DIF,MACD,RSI,ATR,ADX,Bollinger_Upper,Bollinger_Lower,%K,%D
125.27829746264075,125.80970605039161,124.23321102482093,125.10116577148438,3897000,0.0,0.0,,,,,0.0,0.0,,,,,,,
125.26942607562462,127.94415879216172,124.55203405401652,126.87248992919922,4986500,0.0,0.0,,,,,0.14130221201145332,0.028260442402290666,,,,,,,
127.34190779117347,128.4755667695425,126.55366032161561,127.36847686767578,3755800,0.0,0.0,,,,,0.28996470127766827,0.0806012941773662,,,,,,,
126.84593230927665,126.85478416325495,124.83545328517282,125.04801940917969,3239500,0.0,0.0,,,,,0.2180260030019241,0.10808623594227779,,,,,,,
124.91514294482839,125.20741625637501,124.03833652446751,124.64058685302734,3215600,0.0,0.0,125.80614776611328,,,,0.1266774058221216,0.11180446991824657,,,,,,,
124.20661925078062,125.18971549848285,124.17118481045516,124.56088256835938,2756600,0.0,0.0,125.69809112548828,,,,0.0473061983622074,0.09890481560703873,,,,,,,
124.43688201090139,124.87086603750316,123.90547355033914,124.0826187133789,2647600,0.0,0.0,125.14011688232422,,,,-0.05357042495512587,0.06840976749460581,,,,,,,
124.59632210959491,126.29682412801678,124.250910593352,125.4288558959961,2784400,0.0,0.0,124.75219268798828,,,,-0.02460218734590569,0.049807376526503515,,,,,,,
125.77422460554075,127.51899881573887,125.54395484451054,126.6156234741211,2924500,0.0,0.0,125.06571350097656,,,,0.09304501003134646,0.05845490322747211,,,,,,,
126.31449479447114,126.52706086973996,124.95941816104227,126.47392272949219,2395200,0.0,0.0,125.43238067626953,,,,0.17285463507127474,0.08133484959623265,,,,,,,
125.80082934189578,126.28795158437805,125.12772357046246,126.02224731445312,2631400,0.0,0.0,125.72465362548829,,,,0.1973826029476271,0.10454440026651154,,,,,,,
125.2517118372162,127.16476628324055,125.2517118372162,126.0665283203125,2450600,0.0,0.0,126.121435546875,,,,0.21788268533585153,0.12721205728037954,,,,,,,
126.53593205745787,127.5367455659827,125.67682928743352,127.03190612792969,2775400,0.0,0.0,126.44204559326172,,,,0.30847120536064665,0.16346388689643299,,,,,,,
127.45704862955937,129.7775047240824,127.45704862955937,128.7589874267578,3728900,0.0,0.0,126.87071838378907,,,,0.5137026428323281,0.23351163808361203,66.02018503618123,1.8858482020328853,,,,82.65477026282008,
128.59069002527625,129.39665460182067,128.37812392942345,128.5375518798828,4837300,0.0,0.0,127.28344421386718,,,,0.6509779688177701,0.3170049042304437,64.76399323447272,1.845993605377638,,,,78.8837489531045,
129.37012729311078,129.49412084381675,128.5021589238856,129.04241943359375,2086100,0.0,0.0,127.88747863769531,,,,0.7913856448138716,0.4118810523471293,60.461253377451385,1.674553404076635,,,,87.48158399131833,83.00670106908098
129.60034882600476,129.70662511145764,127.35960037918382,127.91756439208984,2864400,0.0,0.0,128.25768585205077,,,,0.8026409928411056,0.49003304044592455,52.4958212247106,1.7049189958157018,,,,68.32543498220399,78.23025597554228
127.3241753558835,128.24528161217899,126.21708558629335,126.65106964111328,3989100,0.0,0.0,128.1815185546875,,,,0.7012814592478804,0.5322827242063157,58.0586270245807,1.66885988462875,,,,46.757178385752624,67.52139911975831
126.89019009172746,127.32416058191251,126.06650837130243,126.16393280029297,2153800,0.0,0.0,127.66250762939453,,,,0.5750169888259649,0.5408295771302456,57.59706935177519,1.6751864902503624,,,,38.46129530191376,51.18130288995679
126.67762814226695,126.68647999454433,125.66796289723585,126.19050598144531,3153300,0.0,0.0,127.19309844970704,126.42876777648925,,,0.47165873170611405,0.5269954080454193,58.17038315477666,1.6751855194847036,,129.24742277311654,123.61011277986196,38.91383345040257,41.37743571268965
124.84431307152099,125.1631554861351,122.73640969077887,122.86925506591797,3755500,0.0,0.0,125.95846557617188,126.31717224121094,,,0.12036191897236392,0.4456687102308083,45.26611754844671,1.8529500768777336,,129.50914930008184,123.12519518234004,1.886714701488269,26.420614484601533
124.04720975382597,124.04720975382597,122.61242553559933,122.86041259765625,3434800,0.0,0.0,124.94703521728516,126.11656837463379,,,-0.1569476545005699,0.32514543728453266,38.81178260525667,1.797277134276931,,129.64785350252473,122.58528324674283,3.4610512393991146,14.753866463763318
124.41916890618405,125.0037155292773,124.01176745198863,124.64058685302734,3260900,0.0,0.0,124.54493865966796,125.98017387390136,,,-0.23041620987568479,0.2140331078524892,41.81959061296822,1.8010742779825222,,129.5185813952612,122.44176635254153,28.30619542472075,11.21798712186938
125.13657508663239,125.34028935111756,123.88778799563116,124.18006134033203,2116500,0.0,0.0,124.14816436767578,125.93677597045898,,,-0.3220882960412723,0.10680882707373689,40.74352070155173,1.786523995297349,,129.54394376502475,122.32960817589321,21.87883432261951,17.882026995579793
123.1260898547719,124.64058097172082,123.10837263586234,124.45459747314453,2093400,0.0,0.0,123.80098266601563,125.92747650146484,,,-0.3683403153934819,0.011778998580293146,43.58227154635788,1.799810365070832,,129.5496421776869,122.30531082524277,25.710419788608228,25.2984831786495
124.70257703069596,127.04074975877187,124.11803047010761,126.78389739990234,3712000,0.0,0.0,124.5839111328125,126.03862724304199,,,-0.21456694249053498,-0.03349018963387248,52.47395072779043,1.871929282402254,,129.62042884540335,122.45682564068062,58.21948026768648,35.26957812630474
126.20824086437514,126.78392217137777,125.34028621997298,125.69454956054688,3386500,0.0,0.0,125.15073852539062,126.1192237854004,,,-0.1785435640964721,-0.0625008645263924,45.42703447268325,1.8421949733205116,,129.58641412202735,122.65203344877345,43.01591013678755,42.31527006436075
127.43930164873383,127.71385771619909,126.41191922301796,126.47392272949219,2486800,0.0,0.0,125.5174057006836,126.17147712707519,,,-0.08611321638927905,-0.06722333489896973,41.64492638804891,1.7903170847133327,18.04533107115084,129.6263375394673,122.7166167146831,54.431753048414414,51.88904781762948
127.66075831595313,128.59071659532782,127.42162309799234,127.96188354492188,2192100,0.0,0.0,126.27377014160156,126.23879013061523,,,0.10598279875905803,-0.03258210816736418,48.07355883287087,1.8687644556732192,15.41060785434034,129.78143129766775,122.6961489635627,75.40608284445292,57.61791534321829
129.27265988501114,129.97233464996157,128.95381750134638,129.85719299316406,2194200,0.0,0.0,127.35428924560547,126.40795364379883,,,0.406470370045497,0.05522838747520807,52.49445722886669,1.9415136831809718,13.16784711274319,130.30340798891353,122.51249929868412,98.43555599657046,76.0911306298126
129.98118180701235,131.3451238767466,129.7066257254405,130.85800170898438,3388800,0.0,0.0,128.1691101074219,126.6497413635254,,,0.7170995571296999,0.18760262140610645,59.071149194089344,1.890904641683279,13.240916980011805,131.01621926531547,122.28326346173532,94.42185967346445,89.42116617149594
130.85800701557343,130.85800701557343,129.73320005790507,130.09632873535156,2653900,0.0,0.0,129.04946594238282,126.85123138427734,,,0.8915376909129549,0.32838963530747617,60.97019773112318,1.8263768510963314,13.606883476086994,131.46906811878057,122.23339464977411,85.69977923649444,92.85239830217644
130.89341620774408,131.78795328489167,130.87571250380608,131.51339721679688,2509600,0.0,0.0,130.05736083984374,127.0753059387207,,,1.1310882707055896,0.4889293623870989,66.08112428540696,1.8573748753056196,13.832691870672834,132.14305609402825,122.00755578341314,97.00773540665308,92.37645810553732
130.41517642169958,130.58345623098003,129.325803859357,130.0520477294922,3127100,0.0,0.0,130.47539367675782,127.13995895385742,,,1.1893055661916918,0.6290046031480174,60.68641882721757,1.9408803224578628,13.671507970573229,132.3296763858242,121.95024152189062,81.08113666232045,87.92955043515599
130.29118173224182,130.3708889524627,129.22837825312502,129.94577026367188,3016100,0.0,0.0,130.49310913085938,127.21036987304687,,,1.2128860931174472,0.7457809011419034,73.82256506089884,1.7757670659343805,17.53800853351803,132.516824741382,121.90391500471172,79.92286578434823,86.0039126177739
129.8306085287818,129.8306085287818,127.73157096850075,128.42239379882812,4452600,0.0,0.0,130.00598754882813,127.17936859130859,,,1.0960158923097367,0.8158278993754702,66.99136610564844,1.8314395714304155,19.40845157665518,132.44786633676543,121.91087084585176,61.224399862683136,74.07613410311727
131.8765414804509,132.12452853314406,128.51985090088783,129.724365234375,6238400,0.0,0.0,129.9315948486328,127.26970863342285,,,1.0958216797853737,0.871826655457451,65.99791509310296,1.9427847001943357,21.489708652196864,132.65223247412476,121.88718479272093,73.37930570285855,71.50885711662997
130.19376500253512,131.03515057690635,129.1220960926255,129.405517578125,4116000,0.0,0.0,129.51001892089843,127.40743103027344,,,1.0577463819553259,0.909010600757026,66.59169958386971,1.9756813522510817,24.06741097634187,132.86375599798936,121.95110606255754,69.84290216367252,68.14886924307142
129.13980760226005,129.7243542545384,127.51902652873167,127.58988189697266,2455000,0.0,0.0,129.01758575439453,127.47872848510742,,,0.8710241839401078,0.9014133173936424,59.067648361968075,2.023761308675957,25.64671305845989,132.90381396408955,122.05364300612528,43.36292096158145,62.19504294270417
126.84592697360794,126.96106864188677,124.70260265858253,124.90630340576172,3532100,0.0,0.0,128.0096923828125,127.41451835632324,,,0.500731024555904,0.8212768588260948,44.67879926381047,2.021229876513519,25.655385016846708,132.93339064606704,121.89564606657945,2.744580727724099,38.650134617659354
125.41999052621732,125.91596459719263,123.56007424578002,125.59712219238281,4138200,0.0,0.0,127.44463806152343,127.55091171264648,,,0.260017016283868,0.7090248903176495,49.71750437569573,2.0863909050855063,25.75346756755967,132.7205949239427,122.38122850135025,23.784912362813923,23.29747135070649
126.19053269677656,128.0770182306675,126.09310824398686,127.66075134277344,3260400,0.0,0.0,127.03191528320312,127.79092864990234,,,0.23308025238354446,0.6138359627308285,53.20274469208273,2.1192900395592553,24.74544979687221,132.4657399119012,123.11611738790347,47.88019130469927,24.803228131745765
126.96105077524327,127.46587664534646,125.95138552075848,126.659912109375,2644000,0.0,0.0,126.48279418945313,127.89189491271972,,,0.12948073780441405,0.5169649177455456,46.391668435746865,2.090188036429207,24.48620528071194,132.3630068160149,123.42078300942454,36.19422510280044,35.95310959010454
127.32416534704025,128.3515478158853,126.90789854525438,127.68729400634766,3163500,0.0,0.0,126.50227661132813,128.0672565460205,,,0.12879385362992934,0.43933070492242243,43.68233083792366,2.067415507962823,24.853075729194163,132.18667441136066,123.94783868068035,48.190107881793736,44.08817476309781
127.9264456677051,128.20100178212118,126.28794732039081,127.26219177246094,3088000,0.0,0.0,126.97345428466797,128.20763626098633,,,0.09287667097655117,0.37003989813324817,39.16764806198558,2.087026672993126,24.96655512660565,131.98592078635141,124.42935173562125,43.226543133553875,42.53695870604935
